Outcome,Sequence,Num_Passes,Pass_Outcomes
Success,Van der Sar → Ferdinand → Giggs → Rooney → Evra → Carrick → Chicharito,6,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Park → Carrick → Chicharito,3,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Valencia → Carrick → Chicharito,4,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Ferdinand → Carrick → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Valencia → Rooney → Evra → Park → Carrick → Evra → Vidić → Carrick → Chicharito,9,"[{'from': 'Van der Sar', 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Carrick → Chicharito,3,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Park → Valencia → Rooney → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Ferdinand,2,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Pass failed,Van der Sar → Giggs → Fábio → Rooney → Evra → Park,6,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand → Vidić → Park → Carrick → Rooney → Giggs,7,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Fábio → Ferdinand → Giggs → Rooney → Park → Carrick → Chicharito,7,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Vidić → Ferdinand → Carrick → Evra → Carrick → Rooney → Chicharito,7,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Fábio → Rooney → Park → Valencia → Ferdinand → Carrick → Chicharito,8,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Valencia → Rooney → Giggs → Park → Fábio → Ferdinand → Vidić → Evra → Giggs → Park → Carrick → Chicharito,12,"[{'from': 'Van der Sar', 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Evra → Park → Carrick → Fábio → Giggs → Park → Rooney → Chicharito,8,"[{'from': 'Van der Sar', 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Park → Rooney → Valencia → Fábio → Ferdinand → Carrick → Chicharito,8,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Evra → Park → Rooney → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand → Carrick → Rooney → Giggs → Park → Evra → Giggs,8,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Fábio → Giggs → Vidić → Carrick → Van der Sar → Giggs → Evra → Park → Rooney → Park → Rooney → Ferdinand → Van der Sar → Valencia → Ferdinand → Rooney → Chicharito,19,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Vidić → Van der Sar → Carrick → Giggs → Rooney → Chicharito,6,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Giggs,2,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Pass failed,Van der Sar → Carrick → Giggs → Fábio → Valencia → Vidić → Van der Sar → Ferdinand → Van der Sar,9,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand → Vidić → Carrick → Giggs → Ferdinand → Evra,7,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand → Van der Sar → Carrick → Fábio → Rooney → Valencia → Ferdinand → Valencia → Vidić → Giggs → Evra → Carrick → Rooney → Carrick → Giggs → Park → Vidić,18,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Vidić → Ferdinand → Valencia → Fábio → Giggs → Rooney → Park → Vidić → Park,10,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Fábio → Valencia → Ferdinand → Carrick → Fábio → Giggs → Park → Evra → Carrick → Chicharito,10,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Vidić → Ferdinand,3,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Pass failed,Van der Sar → Park,2,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Vidić → Park → Carrick → Fábio → Valencia → Rooney → Fábio → Giggs → Evra → Vidić → Ferdinand → Van der Sar → Park → Giggs → Park → Carrick → Chicharito,17,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Evra → Rooney → Ferdinand → Carrick → Vidić → Van der Sar → Valencia → Vidić → Evra → Giggs → Park → Rooney → Chicharito,14,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
